
time: 2026-04-20 07:44:32.268035+03:00, elapsed: 0.967 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:45:43.247609+03:00, elapsed: 1.050 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:46:13.387434+03:00, elapsed: 3.663 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:46:35.660878+03:00, elapsed: 1.030 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:46:36.785652+03:00, elapsed: 0.860 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:23:34.540651+03:00, elapsed: 0.837 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:23:34.724746+03:00, elapsed: 1.022 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:24:34.621736+03:00, elapsed: 0.865 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:25:04.622481+03:00, elapsed: 0.886 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:25:34.814684+03:00, elapsed: 0.941 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:26:04.776126+03:00, elapsed: 0.872 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:26:35.059971+03:00, elapsed: 1.053 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:27:04.995467+03:00, elapsed: 0.938 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:27:34.921164+03:00, elapsed: 0.826 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:28:05.108244+03:00, elapsed: 0.929 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:28:35.121747+03:00, elapsed: 0.906 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:29:05.199736+03:00, elapsed: 0.878 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:29:35.350975+03:00, elapsed: 0.942 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:30:05.378549+03:00, elapsed: 0.909 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:30:35.402412+03:00, elapsed: 0.871 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:31:07.368080+03:00, elapsed: 2.756 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:31:35.710785+03:00, elapsed: 1.068 sec, row count: 5042, max date: 2026-01
