
time: 2026-04-20 04:37:09.342778+03:00, elapsed: 17.972 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:37:39.633000+03:00, elapsed: 18.063 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:38:09.305024+03:00, elapsed: 18.160 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:38:38.036799+03:00, elapsed: 18.184 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:39:14.320651+03:00, elapsed: 18.095 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:39:39.954587+03:00, elapsed: 18.008 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:40:08.128890+03:00, elapsed: 17.995 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:40:37.569399+03:00, elapsed: 17.920 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:41:09.044439+03:00, elapsed: 18.123 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:41:39.414691+03:00, elapsed: 18.392 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:42:09.743977+03:00, elapsed: 18.371 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:42:39.861197+03:00, elapsed: 18.260 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:41:10.763270+03:00, elapsed: 18.904 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:41:49.710977+03:00, elapsed: 18.178 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:42:20.777834+03:00, elapsed: 18.042 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:42:50.782928+03:00, elapsed: 19.090 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:43:21.198278+03:00, elapsed: 18.114 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:43:50.161990+03:00, elapsed: 18.192 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:44:21.258592+03:00, elapsed: 17.926 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:44:50.509988+03:00, elapsed: 17.989 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:45:39.499316+03:00, elapsed: 38.019 sec, row count: 257065, max date: 2026-02
